 Rank                     Fighter Score
  511               Marcelo Mello  1016
  512                 Scott Adams  1016
  513                    Bob Cook  1016
  514                 Ian Freeman  1016
  515                 Ben Earwood  1016
  516                 Mark Hughes  1016
  517               Hermes França  1016
  518           Jonathan Wiezorek  1016
  519                  Tom Murphy  1016
  520                 Logan Clark  1016
  521               Nate Loughran  1016
  522                Ben Saunders  1016
  523              Junie Browning  1016
  524                   Paul Sass  1016
  525             Francis Carmont  1016
  526                 Matt Riddle  1016
  527               Diego Brandão  1016
  528                  Jason High  1016
  529               Julianna Peña  1016
  530                 Wang Anying  1016
  531             Fábio Maldonado  1016
  532      Marcos Rogério de Lima  1016
  533       Antônio Carlos Júnior  1016
  534                 Jason Saggo  1016
  535                 Doo Ho Choi  1016
  536          Demetrious Johnson  1016
  537         Chris Gruetzemacher  1016
  538                 Steve Bossé  1016
  539      Luis Henrique da Silva  1016
  540                   Wang Guan  1016
  541                Benito Lopez  1016
  542         Alexander Hernandez  1016
  543             Claudio Puelles  1016
  544                 Abu Azaitar  1016
  545               Devonte Smith  1016
  546                 Leah Letson  1016
  547          Juan Espino Dieppa  1016
  548                  Greg Hardy  1016
  549                  John Allan  1016
  550                  Ciryl Gané  1016
  551       Karolline Rosa Cavedo  1016
  552                Mizuki Inoue  1016
  553              Ottman Azaitar  1016
  554             Shamil Gamzatov  1016
  555                 Andre Muniz  1016
  556 Omar Antonio Morales Ferrer  1016
  557                Aleksa Camur  1016
  558               Askar Askarov  1016
  559               Herbert Burns  1016
  560               Youssef Zalal  1016
  561                Steve Jennum  1015
  562               Steve Nelmark  1015
  563               Andre Roberts  1015
  564       Ebenezer Fontes Braga  1015
  565              Tyrone Roberts  1015
  566                  Genki Sudo  1015
  567                  Joe Lauzon  1015
  568                  Tom Lawlor  1015
  569                Brian Foster  1015
  570               Lance Benoist  1015
  571           Ildemar Alcântara  1015
  572      Marcos Rogério de Lima  1015
  573              Teemu Packalen  1015
  574               Lina Länsberg  1015
  575               Tom Duquesnoy  1015
  576          Abdul-Kerim Edilov  1015
  577               Nicco Montaño  1015
  578                 Ji Yeon Kim  1015
  579               Sean O’Malley  1015
  580                 Shane Young  1015
  581                John Gunther  1015
  582                   Luis Peña  1015
  583                Liu Pingyuan  1015
  584            Nasrat Haqparast  1015
  585                Jesus Pinedo  1015
  586              Luana Carolina  1015
  587                 Xiaonan Yan  1015
  588                 Julia Avila  1015
  589                  Jack Shore  1015
  590                Sean Woodson  1015
  591                Tracy Cortez  1015
  592            Punahele Soriano  1015
  593                Chase Hooper  1015
  594              Kyler Phillips  1015
  595                David Dvořák  1015
  596          Rodrigo Nascimento  1015
  597               Johnny Rhodes  1014
  598                Ron Waterman  1014
  599                  Din Thomas  1014
  600                   Mike Kyle  1014
  601             Jeremy Stephens  1014
  602                 Nick Catone  1014
  603               Travis Browne  1014
  604             Godofredo Pepey  1014
  605                 Bobby Green  1014
  606                 Royston Wee  1014
  607               Paddy Holohan  1014
  608                Aisling Daly  1014
  609                  JJ Aldrich  1014
  610                 Danny Henry  1014
  611                Nad Narimani  1014
  612          Geraldo de Freitas  1014
  613              Viviane Araújo  1014
  614              Brandon Royval  1014
  615             Ricardo Almeida  1013
  616                Jake O'Brien  1013
  617               Eddie Sanchez  1013
  618    Antônio Rodrigo Nogueira  1013
  619                  Paul Kelly  1013
  620               Carlos Condit  1013
  621                 Kimbo Slice  1013
  622               Rich Attonito  1013
  623            Darren Uyenoyama  1013
  624            Viscardi Andrade  1013
  625       Olivier Aubin-Mercier  1013
  626              Thomas Almeida  1013
  627                Justine Kish  1013
  628               Marc Diakiese  1013
  629              Adam Wieczorek  1013
  630         Michał Oleksiejczuk  1013
  631                Markus Perez  1013
  632               LaVerne Clark  1012
  633                  Matt Serra  1012
  634                Patrick Côté  1012
  635              Brad Blackburn  1012
  636                Rafael Natal  1012
  637                Norman Parke  1012
  638                 Josh Samman  1012
  639                Alexis Davis  1012
  640                 Soa Palelei  1012
  641                  Ivan Jorge  1012
  642               Marion Reneau  1012
  643                  Ben Nguyen  1012
  644                Jesse Taylor  1012
  645                  Julio Arce  1012
  646              Brendan Schaub  1011
  647             Akira Corassani  1011
  648             Kiichi Kunimoto  1011
  649                Chad Laprise  1011
